wavelength,absorption
3800.6,0.0
3801.5,0.0
3802.4,0.0
3803.3,0.0
3804.2,0.0
3805.1,0.0
3806.0,0.0
3806.9,0.0
3807.8,0.0
3808.7,0.0
3809.6,0.0
3810.5,0.0
3811.4,0.0
3812.3,0.0
3813.2,0.0
3814.1,0.0
3815.0,0.0
3815.9,0.0
3816.8,0.0
3817.7,0.0
3818.6,0.0
3819.5,0.05930593336564516
3820.4,0.22682082134684378
3821.3,0.12259204701494697
3822.2,0.0
3823.1,0.0
3824.0,0.0
3824.9,0.15395699688665054
3825.8,0.20682369352575725
3826.7,0.19921715183922728
3827.6,0.1786853597497784
3828.5,0.05524626204561822
3829.4,0.0
3830.3,0.0
3831.2,0.0
3832.1,0.046260190274152735
3833.0,0.18348480321658
3833.9,0.2556069762611891
3834.8,0.1630749557530351
3835.7,0.0
3836.6,0.0
3837.5,0.0
3838.4,0.09009397248807571
3839.3,0.18125409373047552
3840.2,0.2326175709012107
3841.1,0.14212587523229225
3842.0,0.0
3842.9,0.0
3843.8,0.0
3844.7,0.0
3845.6,0.0
3846.5,0.0
3847.4,0.0
3848.3,0.0
3849.2,0.0
3850.1,0.02192605941269221
3851.0,0.0
3851.9,0.0
3852.8,0.0
3853.7,0.0
3854.6,0.0
3855.5,0.013871660804903096
3856.4,0.05779681886435839
3857.3,0.055964626800884765
3858.2,0.16866664189037217
3859.1,0.313309445624145
3860.0,0.345794659604877
3860.9,0.22149318279306096
3861.8,0.0
3862.7,0.0
3863.6,0.0
3864.5,0.0
3865.4,0.0
3866.3,0.018490205592133324
3867.2,0.014097699359432836
3868.1,0.0048542257991911475
3869.0,0.03850436549870795
3869.9,0.08657154609430817
3870.8,0.14644895354903176
3871.7,0.2133909349459362
3872.6,0.19707678775112447
3873.5,0.09051316313273794
3874.4,0.0
3875.3,0.0
3876.2,0.0
3877.1,0.09181593387964626
3878.0,0.20813842099170354
3878.9,0.1709608977182948
3879.8,0.08371876037128778
3880.7,0.10682404369599885
3881.6,0.20466610856126422
3882.5,0.15033199548004383
3883.4,0.0
3884.3,0.0
3885.2,0.0
3886.1,0.1984916245431928
3887.0,0.27993196091722683
3887.9,0.13372618663622804
3888.8,0.0
3889.7,0.0
3890.6,0.0
3891.5,0.0
3892.4,0.0
3893.3,0.0
3894.2,0.0
3895.1,0.0
3896.0,0.0
3896.9,0.0
3897.8,0.0
3898.7,0.0
3899.6,0.0
3900.5,0.0
3901.4,0.0
3902.3,0.0
3903.2,0.0
3904.1,0.0
3905.0,0.0
3905.9,0.0
3906.8,0.0
3907.7,0.0
3908.6,0.0
3909.5,0.0
3910.4,0.0
3911.3,0.0
3912.2,0.0
3913.1,0.0
3914.0,0.0
3914.9,0.0
3915.8,0.0
3916.7,0.0
3917.6,0.0
3918.5,0.0
3919.4,0.0
3920.3,0.16463909337599525
3921.2,0.23716101758667585
3922.1,0.21190911953499314
3923.0,0.1594514434732357
3923.9,0.08266936835110394
3924.8,0.05775129459525552
3925.7,0.1435276337035556
3926.6,0.2819250757437559
3927.5,0.3878817320624258
3928.4,0.49278031567442737
3929.3,0.5676312857214211
3930.2,0.6534096952929651
3931.1,0.7316865168121162
3932.0,0.7769082260167158
3932.9,0.8154196729915328
3933.8,0.8487615994532639
3934.7,0.8398666447967622
3935.6,0.791104313611717
3936.5,0.7103219870945835
3937.4,0.6076590634455981
3938.3,0.5003655179342288
3939.2,0.4048848349708374
3940.1,0.3549424722660738
3941.0,0.35178080750265783
3941.9,0.34761153838180825
3942.8,0.3600669174062344
3943.7,0.4107152570856708
3944.6,0.3720657466596512
3945.5,0.19209128488955984
3946.4,0.02806340442695887
3947.3,0.030571654891646927
3948.2,0.0925083043373991
3949.1,0.048533861963564684
3950.0,0.0
3950.9,0.0
3951.8,0.0
3952.7,0.012531125623963302
3953.6,0.0
3954.5,0.0
3955.4,0.0
3956.3,0.0
3957.2,0.036387615361327175
3958.1,0.029207078401663478
3959.0,0.04486201283057367
3959.9,0.13031510956598746
3960.8,0.31023086085613927
3961.7,0.4826254749639184
3962.6,0.5394833761024709
3963.5,0.5293267267612818
3964.4,0.5464266334362587
