wavelength,absorption
3800.6,0.0
3801.5,0.0
3802.4,0.0
3803.3,0.0
3804.2,0.0
3805.1,0.0
3806.0,0.0
3806.9,0.0
3807.8,0.0
3808.7,0.0
3809.6,0.0
3810.5,0.0
3811.4,0.0
3812.3,0.0
3813.2,0.0
3814.1,0.0
3815.0,0.0
3815.9,0.0
3816.8,0.0
3817.7,0.0
3818.6,0.0
3819.5,0.14667252012157084
3820.4,0.3509912525879527
3821.3,0.3740467998752819
3822.2,0.23047827886262906
3823.1,0.10525334692437804
3824.0,0.1438370701465187
3824.9,0.2720663958055889
3825.8,0.3356145627261906
3826.7,0.29884071331149875
3827.6,0.19238954729563373
3828.5,0.033038165638940575
3829.4,0.0
3830.3,0.0
3831.2,0.0
3832.1,0.03991392355708845
3833.0,0.23161427088129327
3833.9,0.27771300279147026
3834.8,0.15162836626024745
3835.7,0.0
3836.6,0.0
3837.5,0.0
3838.4,0.0
3839.3,0.16371299128835015
3840.2,0.25431008690041457
3841.1,0.21041684219834955
3842.0,0.022641389081223595
3842.9,0.0
3843.8,0.0
3844.7,0.0
3845.6,0.0
3846.5,0.0
3847.4,0.0
3848.3,0.0
3849.2,0.0
3850.1,0.0
3851.0,0.0
3851.9,0.0
3852.8,0.0
3853.7,0.0
3854.6,0.0
3855.5,0.0
3856.4,0.019303339908399608
3857.3,0.042675579247084205
3858.2,0.14010868717932756
3859.1,0.3028086188854816
3860.0,0.3706282292028633
3860.9,0.2586667622694184
3861.8,0.04920759008217046
3862.7,0.0
3863.6,0.0
3864.5,0.0
3865.4,0.0041134880680798735
3866.3,0.0
3867.2,0.0
3868.1,0.0
3869.0,0.0
3869.9,0.0
3870.8,0.005478673310449933
3871.7,0.0946106060834927
3872.6,0.12347702881800493
3873.5,0.043026952022865994
3874.4,0.0
3875.3,0.0
3876.2,0.0
3877.1,0.08580766571771592
3878.0,0.21766166633758877
3878.9,0.1798889098072599
3879.8,0.0
3880.7,0.0
3881.6,0.024457514112499967
3882.5,0.06387703909239084
3883.4,0.0
3884.3,0.0
3885.2,0.03360574034263841
3886.1,0.24620831357810224
3887.0,0.2908930505389947
3887.9,0.17653835851937305
3888.8,0.04384464405737798
3889.7,0.0
3890.6,0.0
3891.5,0.0
3892.4,0.0
3893.3,0.0
3894.2,0.0
3895.1,0.0
3896.0,0.0018753771176549527
3896.9,0.0
3897.8,0.0
3898.7,0.0
3899.6,0.10063007715599692
3900.5,0.06231601492034
3901.4,0.0
3902.3,0.0
3903.2,0.0
3904.1,0.0078000267952030855
3905.0,0.0395111245287586
3905.9,0.10252537181062904
3906.8,0.09281256163751528
3907.7,0.0
3908.6,0.0
3909.5,0.0
3910.4,0.0
3911.3,0.0
3912.2,0.0
3913.1,0.0
3914.0,0.0
3914.9,0.0
3915.8,0.0
3916.7,0.0
3917.6,0.0
3918.5,0.04118609245927074
3919.4,0.1494749719406152
3920.3,0.28586294072844043
3921.2,0.36762315138998125
3922.1,0.38289417045092466
3923.0,0.368307904847025
3923.9,0.33678021974496264
3924.8,0.3146034701332623
3925.7,0.33768490700738285
3926.6,0.4013559253701665
3927.5,0.48323082803418904
3928.4,0.566944960358535
3929.3,0.6412159373684654
3930.2,0.7039599391759264
3931.1,0.760187804060804
3932.0,0.803483064186916
3932.9,0.8202267151535347
3933.8,0.8234621865720836
3934.7,0.8266914739264818
3935.6,0.8066426954816963
3936.5,0.7441426710527725
3937.4,0.6525513170056837
3938.3,0.5544508251691985
3939.2,0.4782400474019731
3940.1,0.44853029188793614
3941.0,0.4529278744120805
3941.9,0.4660243577937846
3942.8,0.5042430010550722
3943.7,0.5654852256084082
3944.6,0.5587570160439121
3945.5,0.43473506877273527
3946.4,0.28089467561989645
3947.3,0.2115234309116375
3948.2,0.2199068772538838
3949.1,0.17968163129846904
3950.0,0.04782668803327228
3950.9,0.0
3951.8,0.0
3952.7,0.0
3953.6,0.0
3954.5,0.0
3955.4,0.0
3956.3,0.013218235200822326
3957.2,0.11208641473491376
3958.1,0.13455498521925346
3959.0,0.16166203663592693
3959.9,0.28046617261858475
3960.8,0.46922626684024293
3961.7,0.6068344138376279
